scan_idx,phant_id,breast_radius_mm,localization_error_mm,iou,dice,scr_db,smr_db,cnr,peak_intensity,tvsvd_rank_removed,blob_threshold_used,runtime_sec
205,A16F2,57.0,66.72762640155845,0.0,0.0,5.280776229011557,5.087570654957831,2.599153798413979,158.71830385291227,7,0.37683444908526414,0.09878699999990204
206,A16F2,57.0,18.48119953464956,0.0,0.0,5.432438865230894,5.292590247498916,2.6708791274292834,164.42868978183955,7,0.43268684624425297,0.09391690000029485
207,A16F2,57.0,64.32921181898021,0.0,0.0,6.131241861176661,5.779903954211747,3.2560198608516973,307.1533913733692,6,0.3533281536842881,0.09917459999996936
208,A16F2,57.0,76.80352967665299,0.0,0.0,4.838735210369714,4.617288274964806,2.306364700515284,187.50870096806048,6,0.47127493039787133,0.10484959999939747
209,A16F2,57.0,107.00746713289216,0.0,0.0,6.340309950067492,5.972511697862322,3.2713131431690807,264.319477940051,6,0.3367064530345953,0.11074740000003658
210,A16F2,57.0,101.6819491544835,0.0,0.0,6.818563805020471,6.249090456217341,3.0744192791295655,398.8782402053629,6,0.2546192520631974,0.11087249999945925
211,A3F2,56.9,35.77419794924254,0.0,0.0,5.354610359696736,5.053644377708127,2.695493749084508,168.2139374767162,6,0.3691040708205462,0.10703790000025037
212,A3F2,56.9,79.97303347246574,0.0,0.0,8.422228329012345,7.825869431250992,5.62219551549501,473.3603423790938,6,0.19797581603389908,0.09380109999983688
213,A3F2,56.9,66.26597049164732,0.0,0.0,6.465808292436309,6.0047199430097775,3.839998896052833,245.92482026021025,6,0.3902824463376306,0.10142230000019481
214,A3F2,56.9,19.201359566697455,0.022307692307692306,0.0436418359668924,7.178879197141358,6.077882343669253,5.680059230534054,539.3071283790293,5,0.27538020796826534,0.10426260000076581
215,A3F2,56.9,69.54891963210473,0.0,0.0,6.710607960338354,6.115795088057247,3.103289533894572,554.3749975185851,5,0.2934628871246173,0.09728069999982836
216,A3F2,56.9,15.675284443061598,0.048214285714285716,0.0919931856899489,4.878347697463122,4.633207262173473,2.3317589649881367,356.4086431594621,5,0.48061198343934275,0.09486160000051314
217,A3F2,56.9,59.687193597810875,0.0,0.0,6.5350418540428015,6.17822566941973,3.2972529903417205,369.1960007982784,6,0.28876957192005354,0.09678269999949407
218,A3F2,56.9,23.522831217856208,0.0,0.0,6.009565789217655,5.79751371148431,3.0765980793837757,135.01103509712735,6,0.4257098533945984,0.0935527000001457
